window_id,session_id,driver,stint_number,compound,lap,timestamp_start,timestamp_end,group_id,target_tdi,target_future_delta,mean_speed,speed_std,mean_throttle,mean_brake,track_temperature,air_temperature,humidity,rainfall,tyre_life,compound_code,residual_mean,residual_std,residual_abs_mean,residual_min,residual_max,residual_slope,residual_persistence,expected_acceleration_mean,expected_acceleration_std,actual_acceleration_mean,non_tyre_explanation_score,tyre_evidence_quality,drs_ratio,braking_ratio,transient_ratio,prior_tdi_baseline,baseline_tdi,baseline_tdi_trend_slope
W_00000,F1_2023_Italian_Grand_Prix_R_VER,VER,1.0,MEDIUM,1,4941.726,4943.494,F1_2023_Italian_Grand_Prix_R_VER_VER_STINT1,5.29,-0.49,5.1936,4.8175,20.0942,33.3333,42.5,29.2,41.0,0.0,1.0,1.0,-3.7593,3.954,4.3396,-12.0717,3.6211,-0.4279,0.7857,10.2642,7.362,7.2486,0.5319,0.3181,1.0,0.3333,0.0,0.0,5.29,0.2887
W_00001,F1_2023_Italian_Grand_Prix_R_VER,VER,1.0,MEDIUM,1,4942.214,4944.228,F1_2023_Italian_Grand_Prix_R_VER_VER_STINT1,5.54,-1.11,11.2927,6.177,31.7354,0.0,42.5,29.2,41.0,0.0,1.0,1.0,-4.7039,2.7249,4.7039,-12.0717,-2.2547,0.3657,1.0,15.3813,0.1471,10.6774,0.4,0.35,1.0,0.0,0.0,4.35,5.54,0.0986
W_00002,F1_2023_Italian_Grand_Prix_R_VER,VER,1.0,MEDIUM,1,4942.968,4944.808,F1_2023_Italian_Grand_Prix_R_VER_VER_STINT1,5.19,-0.72,18.8598,7.02,55.0434,0.0,42.5,29.2,41.0,0.0,1.0,1.0,-3.3121,2.454,3.6737,-9.479,2.7119,0.3713,1.0,15.1473,0.2682,11.8351,0.3984,0.3469,1.0,0.0,0.0,5.09,5.19,0.0139
W_00003,F1_2023_Italian_Grand_Prix_R_VER,VER,1.0,MEDIUM,1,4943.548,4945.414,F1_2023_Italian_Grand_Prix_R_VER_VER_STINT1,4.8,0.05,27.2968,7.7105,78.7896,0.0,42.5,29.2,41.0,0.0,1.0,1.0,-1.5259,2.8211,3.1418,-4.3877,3.2716,0.3338,1.0,14.7562,0.4119,13.2303,0.4547,0.3409,1.0,0.0,0.0,5.41,4.8,-0.0627
W_00004,F1_2023_Italian_Grand_Prix_R_VER,VER,1.0,MEDIUM,1,4944.348,4946.253,F1_2023_Italian_Grand_Prix_R_VER_VER_STINT1,4.43,1.37,35.8053,7.2303,95.1484,0.0,42.5,29.2,41.0,0.0,1.0,1.0,-1.2274,2.7201,2.8433,-4.3877,3.2716,0.0949,0.9333,14.2379,0.5067,13.0104,0.5047,0.3409,1.0,0.0,0.0,5.44,4.43,-0.0792
W_00005,F1_2023_Italian_Grand_Prix_R_VER,VER,1.0,MEDIUM,1,4944.974,4946.773,F1_2023_Italian_Grand_Prix_R_VER_VER_STINT1,4.47,1.27,43.7566,6.359,99.7086,0.0,42.5,29.2,41.0,0.0,1.0,1.0,-3.0611,4.6369,4.3154,-12.903,3.2716,-0.7311,0.9333,13.6303,0.5416,10.5692,0.5563,0.3306,1.0,0.0,0.0,5.07,4.47,-0.0579
W_00006,F1_2023_Italian_Grand_Prix_R_VER,VER,1.0,MEDIUM,1,4945.648,4947.509,F1_2023_Italian_Grand_Prix_R_VER_VER_STINT1,4.85,0.78,50.3031,5.2971,100.0,0.0,42.5,29.2,41.0,0.0,1.0,1.0,-4.6435,5.4212,5.6492,-12.903,3.83,-0.4336,0.9333,13.0399,0.5121,8.3964,0.5809,0.3191,1.0,0.0,0.0,4.74,4.85,-0.0074
W_00007,F1_2023_Italian_Grand_Prix_R_VER,VER,1.0,MEDIUM,1,4946.268,4948.229,F1_2023_Italian_Grand_Prix_R_VER_VER_STINT1,5.8,-0.5,56.3475,5.1054,100.0,0.0,42.5,29.2,41.0,0.0,1.0,1.0,-3.4964,8.8419,8.3575,-12.903,15.3256,0.5972,1.0,12.1658,1.0379,8.6694,0.6143,0.3057,1.0,0.0,0.0,4.24,5.8,0.1227
W_00008,F1_2023_Italian_Grand_Prix_R_VER,VER,1.0,MEDIUM,1,4946.934,4948.854,F1_2023_Italian_Grand_Prix_R_VER_VER_STINT1,5.74,-0.72,62.1717,5.6539,100.0,0.0,42.5,29.2,41.0,0.0,1.0,1.0,-2.0786,8.0268,6.9398,-12.37,15.3256,0.0251,1.0,10.8285,1.577,8.7499,0.5809,0.3191,1.0,0.0,0.0,4.42,5.74,0.1391
W_00009,F1_2023_Italian_Grand_Prix_R_VER,VER,1.0,MEDIUM,1,4947.614,4949.614,F1_2023_Italian_Grand_Prix_R_VER_VER_STINT1,5.63,-0.2,67.7041,4.8814,100.0,0.0,42.5,29.2,41.0,0.0,1.0,1.0,-1.409,6.7105,5.2644,-12.37,15.3256,-0.3993,0.9333,9.2215,1.537,7.8124,0.5402,0.3367,1.0,0.0,0.0,5.2,5.63,0.0233
W_00010,F1_2023_Italian_Grand_Prix_R_VER,VER,1.0,MEDIUM,1,4948.334,4950.428,F1_2023_Italian_Grand_Prix_R_VER_VER_STINT1,5.3,-0.6,72.0866,2.8882,100.0,0.0,42.5,29.2,41.0,0.0,1.0,1.0,-3.1277,1.1289,3.1277,-4.7065,-0.9162,-0.0611,0.9333,7.8184,0.9361,4.6907,0.5374,0.3409,1.0,0.0,0.0,6.01,5.3,-0.0665
W_00011,F1_2023_Italian_Grand_Prix_R_VER,VER,1.0,MEDIUM,1,4949.128,4951.054,F1_2023_Italian_Grand_Prix_R_VER_VER_STINT1,5.02,-0.06,75.2253,2.3132,100.0,0.0,42.5,29.2,41.0,0.0,1.0,1.0,-2.5877,1.4196,2.5877,-4.7065,-0.4401,0.0566,0.8,6.8154,0.7252,4.2277,0.5585,0.3409,1.0,0.0,0.0,5.74,5.02,-0.0609
W_00012,F1_2023_Italian_Grand_Prix_R_VER,VER,1.0,MEDIUM,1,4949.774,4951.648,F1_2023_Italian_Grand_Prix_R_VER_VER_STINT1,5.43,-1.28,77.5741,1.9278,96.2,0.0,42.5,29.2,41.0,0.0,1.0,1.0,-2.4186,1.9131,2.7891,-4.7065,2.779,0.1813,0.8667,5.6377,1.9596,3.2191,0.5838,0.3389,1.0,0.0,0.0,5.3,5.43,0.0111
W_00013,F1_2023_Italian_Grand_Prix_R_VER,VER,1.0,MEDIUM,1,4950.534,4952.174,F1_2023_Italian_Grand_Prix_R_VER_VER_STINT1,4.7,-0.78,78.6595,1.1049,62.8667,33.3333,42.5,29.2,41.0,0.0,1.0,1.0,3.8491,8.9104,6.6618,-4.242,23.5403,1.5356,0.8667,-3.9225,12.8088,-0.0734,0.6758,0.2754,1.0,0.3333,0.0,5.27,4.7,-0.0121
W_00014,F1_2023_Italian_Grand_Prix_R_VER,VER,1.0,MEDIUM,1,4951.168,4952.708,F1_2023_Italian_Grand_Prix_R_VER_VER_STINT1,4.96,-1.36,74.5344,7.2435,29.5333,66.6667,42.5,29.2,41.0,0.0,1.0,1.0,-1.0966,13.7142,11.6076,-19.5229,23.5403,-1.1498,1.0,-12.6052,11.9663,-13.7018,0.7405,0.2396,1.0,0.6667,0.0,5.22,4.96,-0.0409
W_00015,F1_2023_Italian_Grand_Prix_R_VER,VER,1.0,MEDIUM,1,4951.734,4953.373,F1_2023_Italian_Grand_Prix_R_VER_VER_STINT1,4.15,0.89,64.1846,13.0662,0.0,100.0,42.5,29.2,41.0,0.0,1.0,1.0,-3.1217,14.7547,14.0407,-19.5229,23.5403,-2.0922,1.0,-20.0364,1.5978,-23.1581,0.7917,0.2083,1.0,1.0,0.0,5.35,4.15,-0.0637
W_00016,F1_2023_Italian_Grand_Prix_R_VER,VER,1.0,MEDIUM,1,4952.248,4954.169,F1_2023_Italian_Grand_Prix_R_VER_VER_STINT1,3.92,3.91,49.3867,13.7686,0.0,100.0,42.5,29.2,41.0,0.0,1.0,1.0,-7.8813,8.7646,9.4427,-19.5229,5.839,1.5353,0.8667,-18.41,1.381,-26.2913,0.748,0.252,1.0,1.0,0.0,4.52,3.92,-0.0816
W_00017,F1_2023_Italian_Grand_Prix_R_VER,VER,1.0,MEDIUM,1,4952.848,4954.774,F1_2023_Italian_Grand_Prix_R_VER_VER_STINT1,3.6,7.05,35.9829,10.2736,0.0,100.0,42.5,29.2,41.0,0.0,1.0,1.0,-0.3075,7.7881,6.1841,-15.2204,9.4361,1.2798,0.8,-17.2081,0.7772,-17.5156,0.7241,0.2759,1.0,1.0,0.0,4.8,3.6,-0.0875
W_00018,F1_2023_Italian_Grand_Prix_R_VER,VER,1.0,MEDIUM,1,4953.589,4956.254,F1_2023_Italian_Grand_Prix_R_VER_VER_STINT1,5.04,5.31,26.2631,6.425,3.9846,73.3333,42.5,29.2,41.0,0.0,1.0,1.0,1.5065,5.5497,4.7534,-7.2645,9.4361,-0.3708,0.8,-10.4457,9.934,-8.9392,0.6275,0.3092,1.0,0.7333,0.0,4.03,5.04,0.0402
W_00019,F1_2023_Italian_Grand_Prix_R_VER,VER,1.0,MEDIUM,1,4954.174,4956.948,F1_2023_Italian_Grand_Prix_R_VER_VER_STINT1,7.83,0.9,21.4736,2.9887,6.003,53.3333,42.5,29.2,41.0,0.0,1.0,1.0,2.17,6.8079,6.3571,-7.2645,13.0667,-0.4656,0.9333,-6.106,9.3036,-3.936,0.6001,0.3214,1.0,0.5333,0.0,3.94,7.83,0.2872
W_00020,F1_2023_Italian_Grand_Prix_R_VER,VER,1.0,MEDIUM,1,4955.788,4957.574,F1_2023_Italian_Grand_Prix_R_VER_VER_STINT1,10.65,-4.06,19.0775,0.7759,7.1163,20.0,42.5,29.2,41.0,0.0,1.0,1.0,-0.5482,5.9481,4.9964,-7.2645,13.0667,-0.1588,1.0,-0.1999,5.9401,-0.7481,0.5048,0.3333,1.0,0.2,0.0,3.69,10.65,0.5529
W_00021,F1_2023_Italian_Grand_Prix_R_VER,VER,1.0,MEDIUM,1,4956.414,4958.508,F1_2023_Italian_Grand_Prix_R_VER_VER_STINT1,10.35,-5.49,19.3001,1.0362,12.607,13.3333,42.5,29.2,41.0,0.0,1.0,1.0,-2.5982,6.5841,5.8845,-13.3657,13.0667,-1.238,1.0,3.1206,7.3872,0.5224,0.4681,0.3333,1.0,0.1333,0.0,5.29,10.35,0.3947
